transaction_line_item_id,order_transaction_id,product_id,full_price_retail,discounts,revenue,quantity,return_reason,currency
R12795507310670,RET#3304566,32645808783438,-84,-21,0,-1,shipping issues or timing,GBP
R12795507376206,RET#3304566,28619227922510,-84,-21,0,-1,shipping issues or timing,GBP
R12795507343438,RET#3304566,39614897619022,-99,-25,0,-1,shipping issues or timing,GBP
R12795507408974,RET#3304566,39926153052238,-69,-17,0,-1,shipping issues or timing,GBP
S12795558854734,#3304595,39399871742030,69,13.8,55.2,1,,GBP
S12795558789198,#3304595,40110634008654,39,7.8,31.2,1,,GBP
S12795558821966,#3304595,40110633746510,39,7.8,31.2,1,,GBP
S12795558887502,#3304595,39399871479886,69,0,69,1,,GBP
S12795559936078,#3304600,32841360375886,64,0,64,1,,GBP
S12795578482766,#3304624,40106359128142,69,13.8,55.2,1,,GBP
S12795578548302,#3304624,32576267583566,64,12.8,51.2,1,,GBP
S12795578581070,#3304624,32576267616334,64,12.8,51.2,1,,GBP
S12795578515534,#3304624,40106359193678,69,0,69,1,,GBP
S12795702902862,#3304800,39399871479886,69,0,69,1,,GBP
S12795740880974,#3304867,32576267354190,128,12.8,115.2,2,,GBP
S12795740848206,#3304867,40200691023950,34,6.8,27.2,1,,GBP
S12795762409550,#3304892,39399871774798,69,13.8,55.2,1,,GBP
S12795762442318,#3304892,39399871512654,69,0,69,1,,GBP
S12795798749262,#3304967,32841360703566,64,12.8,51.2,1,,GBP
R12795798749262,RET#3304967,32841360703566,-64,-12.8,-51.2,-1,size or fit,GBP
R12795798716494,RET#3304967,39399871709262,-69,0,-69,-1,size or fit,GBP
S12795798683726,#3304967,39399871676494,69,13.8,55.2,1,,GBP
S12795798716494,#3304967,39399871709262,69,0,69,1,,GBP
S12795827519566,#3305016,32841360703566,64,0,64,1,,GBP
S12795828142158,#3305018,40200690696270,34,6.8,27.2,1,,GBP
S12795828076622,#3305018,40230420873294,69,0,69,1,,GBP
S12795828109390,#3305018,32841360965710,64,12.8,51.2,1,,GBP
S12795828043854,#3305018,39399871447118,69,13.8,55.2,1,,GBP
S12795828404302,#3305019,32576267255886,64,0,64,1,,GBP
S12795828371534,#3305019,32576267518030,64,12.8,51.2,1,,GBP
S12795834400846,#3305031,39399871447118,69,0,69,1,,GBP
S12795837808718,#3305036,40106359128142,69,0,69,1,,GBP
S12795837775950,#3305036,39399871742030,69,13.8,55.2,1,,GBP
S12795850096718,#3305066,39428677369934,0,0,0,1,,GBP
S12795856814158,#3305077,39399871676494,138,13.8,124.2,2,,GBP
S12795880603726,#3305118,40106358997070,69,0,69,1,,GBP
S12795883782222,#3305126,39399871447118,69,0,69,1,,GBP
S12795883749454,#3305126,40230420873294,69,13.8,55.2,1,,GBP
S12795891253326,#3305136,31975518994510,84,16.8,67.2,1,,GBP
S12795891351630,#3305136,39668494401614,39,7.8,31.2,1,,GBP
S12795891286094,#3305136,31975518732366,84,16.8,67.2,1,,GBP
S12795891318862,#3305136,32835402006606,84,0,84,1,,GBP
S12795891384398,#3305136,39668544733262,39,7.8,31.2,1,,GBP
S12795891220558,#3305136,40230424870990,39,7.8,31.2,1,,GBP
S12795911438414,#3305167,29426800754766,84,0,84,1,,GBP
S12795911471182,#3305168,31677164748878,105.01,0,105.01,1,,GBP
S12795912159310,#3305169,40245471084622,69,13.8,55.2,1,,GBP
S12795912126542,#3305169,40017313366094,119,0,119,1,,GBP
S12795912192078,#3305169,31975518994510,84,16.8,67.2,1,,GBP
S12795915239502,#3305174,39428677369934,0,0,0,1,,GBP
S12795935719502,#3305198,39337885958222,99,19.8,79.2,1,,GBP
S12795935752270,#3305198,39337885925454,99,0,99,1,,GBP
S12795937488974,#3305199,39399871807566,69,0,69,1,,GBP
S12795964883022,#3305251,29426780373070,89,0,89,1,,GBP
S12795977924686,#3305272,32841360736334,64,12.8,51.2,1,,GBP
